s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus
1/0.8,1e-05,4606,0.009096296296296299,1714044,428511,1.003382529183729,0.9966288737491963
1/0.8,3e-05,4606,0.0272888888888889,1713964,428491,1.0101817951797816,0.989920828876183
1/0.8,0.0001,4606,0.09096296296296298,1713080,428270,1.034338263002346,0.9668017086570176
1/0.8,0.0003,4606,0.27288888888888896,1705412,426353,1.1064230677911633,0.9038134047551778
1/0.8,0.001,4606,0.9096296296296298,1632536,408134,1.3931588038187916,0.7177932603655068
1/0.7,1e-06,4613,0.0003476047673971549,1716660,429165,1.000129050012183,0.9998709666395738
1/0.7,3e-06,4613,0.0010428143021914648,1716660,429165,1.0003871999918166,0.9996129498739889
1/0.7,1e-05,4613,0.00347604767397155,1716656,429164,1.00129124945054,0.9987104157244473
1/0.7,3e-05,4613,0.010428143021914646,1716648,429162,1.0038787438516263,0.9961362426733484
1/0.7,0.0001,4613,0.034760476739715496,1716516,429129,1.012987423948761,0.9871790866878344
1/0.7,0.0003,4613,0.10428143021914646,1715376,428844,1.0394615544107433,0.9620365426279635
1/0.7,0.001,4613,0.3476047673971549,1702772,425693,1.1373331901884767,0.879249817579211
1/0.6,1e-06,4627,0.00016265624999999996,1721872,430468,1.0000603848751795,0.9999396187709333
1/0.6,3e-06,4627,0.0004879687499999999,1721868,430467,1.0001811655638777,0.9998188672511389
1/0.6,1e-05,4627,0.0016265625,1721868,430467,1.0006040128268638,0.9993963517844013
1/0.6,3e-05,4627,0.0048796874999999995,1721868,430467,1.0018131323131905,0.9981901491858031
1/0.6,0.0001,4627,0.016265625,1721840,430460,1.006056535611057,0.9939799251864326
1/0.6,0.0003,4627,0.04879687499999999,1721588,430397,1.0182789772630945,0.9820491459892216
1/0.6,0.001,4627,0.16265624999999997,1718752,429688,1.0622044498700969,0.9414383456238539
1/0.5,1e-06,4651,8.266666666666667e-05,1730804,432701,1.0000306889051935,0.9999693120365865
1/0.5,3e-06,4651,0.000248,1730804,432701,1.0000920695409203,0.9999079389350994
1/0.5,1e-05,4651,0.0008266666666666667,1730804,432701,1.0003069314320339,0.999693162745964
1/0.5,3e-05,4651,0.0024800000000000004,1730804,432701,1.000921076830015,0.9990797707718052
1/0.5,0.0001,4651,0.008266666666666667,1730796,432699,1.0030735523192629,0.9969358654585636
1/0.5,0.0003,4651,0.024799999999999996,1730728,432682,1.0092489094930506,0.9908358489109528
1/0.5,0.001,4650,0.08266666666666667,1729616,432404,1.0311592134869763,0.9697823448799839
1/0.4,1e-06,4691,4.253968253968255e-05,1745692,436423,1.000015792176141,0.999984208073248
1/0.4,3e-06,4691,0.0001276190476190476,1745692,436423,1.0000473772765894,0.9999526249679104
1/0.4,1e-05,4691,0.0004253968253968255,1745692,436423,1.0001579329839094,0.9998420919549794
1/0.4,3e-05,4691,0.0012761904761904766,1745692,436423,1.0004738737683887,0.9995263506815988
1/0.4,0.0001,4691,0.004253968253968255,1745688,436422,1.001580452088317,0.9984220417990171
1/0.4,0.0003,4691,0.012761904761904763,1745672,436418,1.0047488378709781,0.9952736070030784
1/0.4,0.001,4691,0.04253968253968256,1745104,436276,1.015916738117561,0.9843326352245618
1/0.3,1e-06,4764,2.0707644004347314e-05,1772864,443216,1.0000076873501837,0.9999923127089111
1/0.3,3e-06,4764,6.21229320130419e-05,1772864,443216,1.000023062227836,0.9999769383040179
1/0.3,1e-05,4764,0.00020707644004347306,1772864,443216,1.0000768761611087,0.999923129748381
1/0.3,3e-05,4764,0.000621229320130419,1772864,443216,1.0002306462117956,0.9997694069736126
1/0.3,0.0001,4764,0.0020707644004347298,1772864,443216,1.0007690275380874,0.9992315634108109
1/0.3,0.0003,4764,0.006212293201304189,1772860,443215,1.0023088554578143,0.9976964630759849
1/0.3,0.001,4764,0.020707644004347305,1772812,443203,1.0077168676491526,0.992342226376388
1/0.2,1e-06,4921,8.541666666666658e-06,1831300,457825,1.0000031709369992,0.9999968290730554
1/0.2,3e-06,4921,2.5625000000000013e-05,1831300,457825,1.0000095128411624,0.999990487249331
1/0.2,1e-05,4921,8.54166666666668e-05,1831300,457825,1.0000317098224594,0.9999682911830217
1/0.2,3e-05,4921,0.0002562499999999998,1831300,457825,1.0000951324838208,0.9999048765655077
1/0.2,0.0001,4921,0.0008541666666666669,1831300,457825,1.0003171434712348,0.9996829570768582
1/0.2,0.0003,4921,0.0025625000000000053,1830928,457732,1.0009517320578931,0.9990491728747631
1/0.2,0.001,4920,0.008541666666666678,1831292,457823,1.003175959364031,0.9968340954202642
