s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus
1/0.5,1e-05,4651,0.0008266666666666667,1746244,436561,1.0003019427969413,0.9996881514826762
1/0.5,3e-05,4651,0.0024800000000000004,1746220,436555,1.0009061112305742,0.9990647372922414
1/0.5,0.0001,4651,0.008266666666666667,1746132,436533,1.0030236707111129,0.9968857576284779
1/0.5,0.0003,4651,0.024799999999999996,1745840,436460,1.0090993005137274,0.9906855613953651
1/0.5,0.001,4650,0.08266666666666667,1743944,435986,1.0306610880293132,0.9692819491430288
1/0.4,1e-06,4691,4.253968253968255e-05,1763656,440914,1.0000152932201758,0.9999837070392777
1/0.4,3e-06,4691,0.0001276190476190476,1763652,440913,1.0000458804028056,0.999951121854929
1/0.4,1e-05,4691,0.0004253968253968255,1763652,440913,1.0001529434359309,0.9998370815867286
1/0.4,3e-05,4691,0.0012761904761904766,1763640,440910,1.0004589053814126,0.9995113198370291
1/0.4,0.0001,4691,0.004253968253968255,1763604,440901,1.001530560474699,0.998371942035248
1/0.4,0.0003,4691,0.012761904761904763,1763488,440872,1.0045991898529827,0.9951233348521213
1/0.4,0.001,4690,0.04253968253968256,1762572,440643,1.0154182639690492,0.9838320830058339
1/0.3,1e-06,4764,2.0707644004347314e-05,1795812,448953,1.0000071883991064,0.9999918116082791
1/0.3,3e-06,4764,6.21229320130419e-05,1795448,448862,1.0000215651522832,0.9999754353778741
1/0.3,1e-05,4764,0.00020707644004347306,1795428,448857,1.0000718858239201,0.9999181201624033
1/0.3,3e-05,4764,0.000621229320130419,1795420,448855,1.0002156754598703,0.9997543784358145
1/0.3,0.0001,4764,0.0020707644004347298,1795404,448851,1.0007191277868157,0.999181471070729
1/0.3,0.0003,4764,0.006212293201304189,1795360,448840,1.0021591800462752,0.9975462101788624
1/0.3,0.001,4764,0.020707644004347305,1795160,448790,1.0072182369460538,0.9918416738283832
1/0.2,1e-06,4921,8.541666666666658e-06,1877960,469490,1.0000026714059158,0.9999963285054618
1/0.2,3e-06,4921,2.5625000000000013e-05,1864540,466135,1.0000080154997055,0.9999889846874179
1/0.2,1e-05,4921,8.54166666666668e-05,1863752,465938,1.0000267187812109,0.999963282298503
1/0.2,3e-05,4921,0.0002562499999999998,1863696,465924,1.0000801595176725,0.9998898501981632
1/0.2,0.0001,4921,0.0008541666666666669,1863692,465923,1.000267236242312,0.9996328719329614
1/0.2,0.0003,4920,0.0025625000000000053,1863292,465823,1.0008020331927134,0.9988989404957263
1/0.2,0.001,4921,0.008541666666666678,1863588,465897,1.002677230711177,0.9963335911099793
